Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Tennis,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
60.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0.67,44.2,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,10,0,1
20.0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0.99,29.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,11,0,1
135.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1.0,40.35,1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11,1,1
135.0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1.0,50.35,1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11,1,1
135.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1.0,37.95,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11,1,1
135.0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1.0,47.95,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11,1,1
132.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1.0,55.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
132.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1.0,63.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
132.0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1.0,67.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
132.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1.0,47.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
132.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1.0,54.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
132.0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1.0,59.0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
100.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0.56,38.0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
100.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0.56,34.0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
127.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,35.3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
127.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,38.3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
127.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,39.3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
127.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,57.3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
127.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,69.3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
127.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,29.6,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
127.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,32.0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
127.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,32.8,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
127.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,47.2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
127.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,56.8,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
90.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0.47,46.8,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
90.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0.47,54.8,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,30.0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
