URL;Preisseite;Latitude;Longitude;Stellplatz am Wasser;weiter Unterküfte;kleiner Platz (<80 m2);mittlerer Platz  (~100 m2);grosser Platz (>110 m2);Hauptsaison;Nebensaison;Preis
https://camping.ch/de/campingplatz/zentralschweiz/luzern/camping-international-lido-luzern?l=true;https://camping-international.ch/luzern/de/wohnwagen-wohnmobil/;47.05000806;8.337648889;0;1;1;0;0;0;1;47.95
https://camping.ch/de/campingplatz/zentralschweiz/sarnen/seefeld-sarnen?l=true;https://www.seefeldpark.ch/mietobjekte/touristenplaetze-standard/;46.88314806;8.242223056;0;1;1;0;0;1;0;55
https://camping.ch/de/campingplatz/zentralschweiz/sarnen/seefeld-sarnen?l=true;https://www.seefeldpark.ch/mietobjekte/touristenplaetze-standard/;46.88314806;8.242223056;0;1;0;1;0;1;0;63
https://camping.ch/de/campingplatz/zentralschweiz/sarnen/seefeld-sarnen?l=true;https://www.seefeldpark.ch/mietobjekte/touristenplaetze-standard/;46.88314806;8.242223056;1;1;0;1;0;1;0;67
https://camping.ch/de/campingplatz/zentralschweiz/sarnen/seefeld-sarnen?l=true;https://www.seefeldpark.ch/mietobjekte/touristenplaetze-standard/;46.88314806;8.242223056;0;1;1;0;0;0;1;47
https://camping.ch/de/campingplatz/zentralschweiz/sarnen/seefeld-sarnen?l=true;https://www.seefeldpark.ch/mietobjekte/touristenplaetze-standard/;46.88314806;8.242223056;0;1;0;1;0;0;1;54
https://camping.ch/de/campingplatz/zentralschweiz/sarnen/seefeld-sarnen?l=true;https://www.seefeldpark.ch/mietobjekte/touristenplaetze-standard/;46.88314806;8.242223056;1;1;0;1;0;0;1;59
https://camping.ch/de/campingplatz/zentralschweiz/giswil/camping-international-giswil-sarnersee?l=true;https://camping-international.ch/giswil/camping_giswil/wohnwagen-wohnmobil/;46.85377111;8.18807;0;1;1;0;0;1;0;38
https://camping.ch/de/campingplatz/zentralschweiz/giswil/camping-international-giswil-sarnersee?l=true;https://camping-international.ch/giswil/camping_giswil/wohnwagen-wohnmobil/;46.85377111;8.18807;0;1;1;0;0;0;1;34
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;0;1;1;0;0;1;0;35.3
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;0;1;0;1;0;1;0;38.3
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;0;1;0;0;1;1;0;39.3
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;1;1;0;1;0;1;0;57.3
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;1;1;0;0;1;1;0;69.3
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;0;1;1;0;0;0;1;29.6
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;0;1;0;1;0;0;1;32
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;0;1;0;0;1;0;1;32.8
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;1;1;0;1;0;0;1;47.2
