Name,Ortschaft,Latitude,Longitude,Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Golf,Tennis,Disco,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
Ferienhof Rüti,6443 Morschach (SZ),46.99030694,8.633943889,20.0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.99,29.0,1,3,0,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,11,0,1
Camping International Lido Luzern,6005 Luzern (LU),47.05000806,8.337648889,135.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.0,40.35,1,4,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11,1,1
Camping International Lido Luzern,6005 Luzern (LU),47.05000806,8.337648889,135.0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.0,50.35,1,4,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11,1,1
Camping International Lido Luzern,6005 Luzern (LU),47.05000806,8.337648889,135.0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.0,37.95,1,4,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11,1,1
Camping International Lido Luzern,6005 Luzern (LU),47.05000806,8.337648889,135.0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.0,47.95,1,4,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11,1,1
Seefeld Sarnen,6060 Sarnen (OW),46.88314806,8.242223056,132.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1.0,55.0,1,5,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
Seefeld Sarnen,6060 Sarnen (OW),46.88314806,8.242223056,132.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1.0,63.0,1,5,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
Seefeld Sarnen,6060 Sarnen (OW),46.88314806,8.242223056,132.0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1.0,67.0,1,5,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
Seefeld Sarnen,6060 Sarnen (OW),46.88314806,8.242223056,132.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1.0,47.0,1,5,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
Seefeld Sarnen,6060 Sarnen (OW),46.88314806,8.242223056,132.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1.0,54.0,1,5,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
