url,name,locality,website,star category,activities,tourist pitches,open (seasons 1),open (seasons 2),open (seasons 3),open (seasons 4),open (seasons 5),open (seasons 6),open (seasons 7),sport field,golf,tennis,indoor swimming pool,unheated pool,bathing facilities,baby pool,boat rental,bike rental,entertainment,playground,disco,wifi,lounge,info corner,easy access for disabled people,animals allowed,kitchen,BBQ area,restaurant,take away,shop with limited range,kiosk,shopping centre,shop with rich range,washing machine,laundry dryer / tumble dryer,hiking,lake with sandy beach,lake with stony beach,river,train station,bus,VSC membership,TCS membership,SCCV membership
https://camping.ch/de/campingplatz/tessin/losone/camping-melezza?l=true,Camping Melezza,6616 Losone (TI),www.melezza.swiss,4,11,149,25.03.2024 − 31.10.2024,,,,,,,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0
https://camping.ch/de/campingplatz/berner-oberland/iseltwald/du-lac?l=true,Camping du Lac - Iseltwald,3807 Iseltwald (BE),,3,11,20,01.04.2024 − 31.10.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
https://camping.ch/de/campingplatz/berner-oberland/meiringen/balmweid?l=true,Camping Balmweid,ch-3860 Meiringen (BE),www.camping-meiringen.ch,3,11,100,01.04.2024 − 31.10.2024,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0
https://camping.ch/de/campingplatz/ostschweiz/uttwil/campingplatz-amriswil?l=true,Campingplatz Amriswil,8592 Uttwil (TG),,3,4,40,01.04.2024 − 25.09.2024,,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
https://camping.ch/de/campingplatz/graubuenden/disentis/tcs-camping-disentis?l=true,TCS Camping Disentis,7180 Disentis (GR),,4,2,127,23.04.2024 − 26.09.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
https://camping.ch/de/campingplatz/tessin/avegno/piccolo-paradiso?l=true,Camping Piccolo Paradiso,6670 Avegno (TI),www.camping-piccoloparadiso.ch,4,11,200,01.04.2024 − 31.10.2024,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0
https://camping.ch/de/campingplatz/waadt-genfersee/rolle/aux-vernes?l=true,Aux Vernes,1180 Rolle (VD),,3,1,117,31.03.2024 − 01.10.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
https://camping.ch/de/campingplatz/berner-oberland/innertkirchen/aareschlucht?l=true,Aareschlucht,3862 Innertkirchen (BE),,3,11,45,01.05.2024 − 31.10.2024,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/le-noirmont/camping-du-creux-des-biches?l=true,Jura Bivouac,2340 Le Noirmont (JU),,0,4,0,01.01.2024 − 31.12.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://camping.ch/de/campingplatz/zentralschweiz/sempach/tcs-camping-sempach?l=true,TCS Camping Sempach,6204 Sempach (LU),,4,4,230,27.03.2024 − 22.10.2024,,,,,,,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0
